City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
321,Leh,IN,34.1667,77.5833,-3.26,96,100,2.44,overcast clouds
322,Key Biscayne,US,25.6937,-80.1628,75.22,90,100,3.0,overcast clouds
323,Meulaboh,ID,4.1363,96.1285,76.77,85,15,3.89,few clouds
324,Camopi,GF,3.1655,-52.3158,72.0,99,82,2.35,light rain
325,Zhangye,CN,38.9342,100.4517,22.05,43,5,1.34,clear sky
326,Plastun,RU,44.7561,136.2939,7.23,63,7,11.16,clear sky
327,Bonavista,CA,48.6499,-53.1147,45.12,97,100,14.25,light rain
328,Mantua,IT,45.1667,10.7833,38.82,98,3,1.99,clear sky
329,Lago Da Pedra,BR,-4.3333,-45.1667,73.2,94,100,2.42,overcast clouds
330,Liberty,US,31.8335,-81.5004,61.05,47,100,5.75,moderate rain
331,Bethel,US,41.3712,-73.414,27.18,61,0,3.0,clear sky
332,Nome,US,64.5011,-165.4064,5.07,72,100,16.11,overcast clouds
333,Bengkulu,ID,-3.8004,102.2655,75.6,86,100,3.87,overcast clouds
334,San Vicente De Chucuri,CO,6.881,-73.4098,72.37,88,38,2.48,scattered clouds
335,Mogadishu,SO,2.0371,45.3438,76.71,81,64,17.29,broken clouds
336,Tawang,IN,27.5833,91.8667,20.03,79,69,7.02,broken clouds
337,Vila Velha,BR,-20.3297,-40.2925,80.55,78,75,6.91,broken clouds
338,Kalaleh,IR,37.3807,55.4916,36.45,99,100,10.29,overcast clouds
339,Danjiangkou,CN,32.5428,111.5086,30.51,95,100,3.56,light snow
340,Olafsvik,IS,64.8945,-23.7142,44.82,89,100,35.19,overcast clouds
341,Salalah,OM,17.0151,54.0924,73.49,83,0,2.3,clear sky
342,Piterka,RU,50.6803,47.4454,-2.83,100,91,4.05,overcast clouds
343,Hami,CN,42.8,93.45,27.07,43,100,4.45,overcast clouds
344,Yerbogachen,RU,61.2767,108.0108,8.35,95,100,6.2,overcast clouds
345,Virginia Beach,US,36.8529,-75.978,37.02,93,100,13.8,mist
346,Tuy Hoa,VN,13.0833,109.3,71.82,85,96,4.23,overcast clouds
